Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
4.29871;319.107;11.31;-0.41
22.3301;4815.8;43.32;-0.06
18.3062;4985.91;10.93;0.09
18.8662;4944.16;32.45;0.48
15.8692;4849.63;34.15;-0.09
6.427;1237.32;36.95;-0.37
23.9142;4957.55;32.1;-0.07
22.0666;4887.64;31.75;-0.17
13.3098;4837.13;20.47;0.47
14.7802;4914.75;21.14;0.34
8.41178;2543.11;43.93;-0.14
6.28792;860.844;6.36;0.37
5.90958;868.547;21.17;-0.33
22.6412;4907.41;42.16;-0.07
6.21241;940.112;34.86;0.31
12.9938;4666.73;27.22;0.17
24.6126;4985.53;16.05;-0.1
12.9825;4897.11;20.89;-0.39
19.1197;4962.63;25.04;-0.11
21.3269;4921.9;33.5;0.3
4.17365;328.087;41.89;0.09
17.7254;4848.13;42.74;-0.45
8.35715;2259.86;40.07;0.03
23.9633;4921.78;29.64;-0.33
6.48812;969.646;11.76;0.09
14.4346;4960.5;22.32;0.2
8.69977;2521.61;35.97;0.35
23.8623;4973.42;23.83;-0.22
13.7081;4979.78;15.92;-0.26
7.71421;2169.99;33.54;-0.38
21.8502;4969.29;27.7;-0.21
8.65108;2526.3;35.38;0.22
18.5705;4986.1;17.48;0.43
12.9254;4907.72;28.67;-0.45
7.45549;1695.76;37.5;0.11
8.62349;2281.43;17.14;0.17
7.67478;1540.72;5.34;0.22
21.7376;4934.51;36.84;-0.27
20.4391;4966;29.21;0.13
4.17443;313.661;40.98;0.38
5.74867;754.768;30;0.01
14.599;4693.7;33.84;0.38
24.9426;4987.17;8.72;0.02
4.75599;414.747;31.14;0.13
6.69565;1511.48;35.63;-0.48
23.7833;4915.42;36.11;-0.27
19.2443;4984.86;14.68;-0.14
23.2475;4986.78;10.44;-0.22
5.58343;745.245;31.14;-0.07
17.7178;4985.54;20.22;0.26
9.33864;3468.25;41.83;-0.35
18.2013;4834.63;44.01;-0.41
8.47819;2337.65;39.3;0.29
23.7925;4983.72;23.79;-0.21
24.7626;4978.99;21.08;-0.02
21.1412;4840.2;43.52;0.26
10.1339;3754.54;13.62;-0.09
15.8491;4921.84;34.56;-0.45
3.45136;142.671;13.27;-0.4
8.43571;2415.7;29.5;-0.18
20.3446;4867.25;39.67;0.04
15.8052;4968.53;22.13;0.45
25.1336;4885.53;40.93;0.22
3.18896;94.9012;22.02;-0.17
25.1092;4975.8;26.1;-0.44
7.47558;1450.87;13.17;0.25
12.71;4847.75;18.65;-0.32
11.5959;4906.05;8.1;-0.29
22.8863;4987.16;12.22;-0.14
12.6821;4622.22;44.5;-0.45
4.27194;290.878;24.38;0.44
12.5591;4798.79;21.18;0.43
9.51701;3139.78;26.72;0.21
13.148;4635.79;26.01;0.15
15.5925;4801.22;36.89;-0.41
23.8191;4945.64;32.39;0.35
17.0168;4977.09;22.08;0.42
17.0493;4937.71;34.14;-0.11
21.5732;4981.97;22.66;-0.26
3.59501;176.394;9.64;-0.45
25.1067;4962.91;26.67;-0.01
24.5688;4905.98;37.53;-0.5
10.7791;3921.99;33.63;-0.03
9.7568;3291.56;28.93;0.26
5.72197;806.581;43.09;0.01
21.2107;4986.8;12.97;0.47
3.12896;74.2595;6.63;-0.18
15.5943;4841.49;38.91;0.18
24.075;4893.15;33.05;-0.03
20.9592;4987.05;11.31;0.02
22.4587;4986.54;11.77;0.47
5.72949;831.201;27.66;-0.36
21.9903;4973.25;21.55;0.36
25.095;4794.16;42.58;0.33
17.3676;4837.52;34.4;0.01
4.0436;277.321;34.91;-0.22
14.2649;4906.25;39.11;-0.4
23.884;4818.78;41.73;-0.36
6.69856;1502.49;41.29;-0.46
10.1292;3328.34;41.89;0.46
14.1706;4646.42;33.77;0.26
15.446;4985;8.65;-0.13
10.3946;3867.81;19.94;0.11
9.22156;2925.52;32.38;0.37
18.1294;4857.98;43.15;-0.1
17.8828;4837.12;37.52;0.2
16.6221;4984.99;9.08;0.19
7.92855;2076.14;36.79;-0.01
24.3413;4936.01;29.58;0.07
21.9302;4976.85;29.44;-0.1
11.9738;4975.64;6.04;0.43
24.7812;4873.41;35.62;-0.35
13.4459;4722.62;36.28;-0.14
19.5978;4987.07;11;-0.04
23.2885;4980.87;18.31;-0.23
20.5377;4958.12;30.05;-0.43
10.2628;3669.19;7.65;0.35
3.57087;169.797;24.55;-0.23
5.01542;625.578;35.68;-0.5
19.3487;4811.17;42.24;0.13
3.51092;168.678;40.62;-0.07
5.90765;788.734;10.68;-0.25
7.05862;1588.93;43.26;0.05
21.9839;4983.2;21.6;-0.37
14.6328;4983.36;20.3;-0.31
24.7823;4955.7;30.72;0.18
16.4115;4986.33;15.77;0.02
17.7121;4932.37;34.25;0.35
10.4957;3827.25;22.42;0.47
4.58684;351.946;21.37;0.38
22.1038;4983.8;22.35;-0.41
13.9545;4569.94;42.97;-0.13
13.7339;4971.03;13.4;0.27
8.14168;2039.85;15.37;-0.13
23.8428;4891.11;32.93;-0.45
6.35054;1023.87;31.13;0.25
24.701;4968.65;24.84;-0.35
9.56262;3302.5;43.92;-0.12
7.35878;1449.09;22.09;0.31
23.8588;4985.8;13.18;0.13
4.42498;414.67;42.88;-0.21
4.75234;366.056;17.54;0.28
17.0255;4965.71;26.69;0.25
22.3955;4985.68;18.92;-0.32
14.0962;4662.94;32.93;-0.26
23.9928;4810.27;42.69;0.49
13.3718;4983.77;9.61;-0.23
19.0319;4946.18;32.71;-0.36
20.3145;4920.1;30.82;0.32
9.48549;3083.31;40.59;0.07
21.9193;4868.06;44.91;-0.32
5.21383;554.03;26.06;-0.08
9.27688;3200.45;41.45;0.5
18.2428;4815.11;28.46;0.1
15.11;4740.82;32.77;-0.17
15.3183;4985.04;9.06;-0.47
23.957;4968.21;28.6;0.26
9.14301;3019.14;24.51;-0.19
3.94526;244.601;24.9;-0.34
21.8224;4987.04;5.32;0.11
11.4006;4378.92;38.77;-0.02
17.0845;4973.32;17.14;0.38
6.37163;1144.25;10.72;-0.49
15.9213;4952.67;32.14;-0.06
19.36;4974.65;26.01;-0.12
6.17037;883.734;17.94;-0.14
5.19706;472.543;6.09;0.13
14.2846;4984.1;5.19;0.29
5.52948;710.477;36.73;0.22
13.2857;4721.86;39.46;-0.24
6.40826;940.54;14.17;0.09
10.9351;4632.37;5.78;-0.17
24.8729;4887.25;39.12;-0.02
12.7972;4926.65;18.15;0.01
13.9967;4983;6.66;-0.43
6.01643;982.747;42.9;-0.14
7.62283;2023.65;43.94;-0.13
19.9905;4986.39;13.25;-0.23
10.1613;3609.95;17.07;0.46
9.71289;3225.64;25.05;0.23
24.8426;4973.74;25.78;0.14
10.8478;3715.22;39.81;-0.15
15.0133;4974.14;23.18;-0.42
3.37854;107.545;13.28;-0.13
7.97777;2160.65;18.8;-0.39
9.92383;3388.97;7.26;0.04
12.0152;4980.38;8.18;-0.34
23.661;4981.5;22.01;-0.06
22.1741;4817.72;40.94;0.01
25.3227;4769.52;44.12;0.1
24.126;4986.8;6.04;0.29
16.078;4984.43;13.03;0.46
18.732;4985.65;9.61;0.4
14.623;4983.73;7.94;0.4
24.2319;4976.35;28.01;0.1
13.6072;4934.32;18.46;-0.44
6.23575;856.652;8.1;-0.04
23.746;4868.15;40.04;-0.07
17.7387;4885.36;32.22;0.39
23.5886;4975.61;23.57;0.35
21.3182;4951.57;25.52;0.04
13.6709;4984.08;9.16;-0.11
11.2846;4124.54;33.62;-0.12
7.11275;1295.6;10.93;0.02
23.8809;4983.65;19.15;0.09
3.95579;260.679;41.59;-0.22
12.7187;4746.4;22.09;0.06
10.859;4153.58;25.47;0.22
10.8665;4188.41;23.61;0.47
23.5597;4845.66;36.27;0.25
17.1613;4825.72;41.96;0.26
12.2394;4637.47;24.76;0.2
22.0441;4983.03;20.47;-0.22
24.9893;4741.15;42.69;0.35
22.1446;4972.73;28.9;-0.23
19.4884;4986.17;5.15;0.41
9.92556;3398.2;6.48;0.04
12.4027;4342.19;25.79;0.27
6.25447;902.788;19.86;0.33
9.9729;3484.31;20.93;0.12
22.3558;4986.83;6.22;-0.47
8.62661;2335.12;23.09;0.19
19.7012;4986.15;13.9;0.08
17.1197;4892.57;31.29;-0.26
15.2468;4984.2;8.37;0.48
4.17942;389.921;41.32;-0.38
25.1387;4976.89;22.04;-0.44
21.3401;4656.31;44.15;0.13
13.0173;4982.3;7.17;-0.03
4.5366;467.345;33.71;-0.49
15.0564;4964.65;22.97;-0.16
21.0309;4986.65;8.44;-0.21
10.8326;3841.01;39.85;0.04
7.58695;1886.82;28.46;-0.33
10.752;4592.01;16.27;-0.39
13.9194;4983.35;7.47;0.04
9.76575;3302.77;16.33;0.43
20.8473;4865.41;43.77;-0.32
20.4087;4980.69;25.95;0
7.37267;1832.51;36.25;-0.38
3.75008;199.256;36.85;0.19
12.4439;4898.03;20.97;-0.2
25.3813;4829.77;43.4;0.32
12.9902;4982.6;5.1;-0.36
5.92168;886.807;35.14;0.32
17.2426;4729.48;44.31;-0.26
20.7922;4890.79;40.33;-0.2
3.47138;147.331;32.21;0.09
11.34;4685.85;10.42;0.12
8.48516;2168.86;12.61;0.04
8.50908;2122.46;6.92;0.43
22.1264;4986.76;7.53;0.42
18.3639;4985.89;13.23;0.01
6.46295;933.65;7.35;0.25
14.6933;4947.55;21.21;0.19
23.5415;4925.13;33.39;0.2
5.6232;692.946;26.16;0.2
18.3765;4985.77;24.71;-0.43
20.5255;4833.57;40.51;0.15
23.6954;4943.38;38.6;0.5
23.6207;4885.65;41;-0.16
9.11216;2810.84;18;-0.06
16.9888;4985.87;12.63;0.45
6.63844;1269.6;14.58;-0.45
11.1554;4467.94;17.84;-0.25
22.6954;4986.4;13.62;0.35
10.3507;3657.23;34.69;0.16
6.54397;1321.45;34.2;-0.41
4.98645;444.13;17.91;0.08
13.2413;4947.88;12.81;-0.13
24.3984;4985.94;11.07;0.42
5.7132;675.403;12.21;-0.09
23.2748;4986.11;15.1;-0.28
18.5397;4984.25;23.56;-0.07
15.8842;4873.76;37.07;0.19
16.8012;4986.18;25.84;-0.47
18.7986;4985.45;24.07;-0.04
19.1691;4899.68;32.3;0.49
7.21671;1336.79;14.89;0.38
10.9519;4557.22;27.17;-0.49
29.0068;3259.09;36.36;-0.37
17.0432;4872.22;37.27;0.11
16.6095;4981.35;17.39;0.47
23.1796;4985.36;21.05;-0.48
22.6256;4984.34;16.92;0.45
6.51879;1187.46;7.79;-0.46
22.6478;4974.68;26.46;0
12.4511;4589.29;27.44;0.01
24.4217;4909.61;32.1;0.45
5.15667;476.635;5.79;0.46
20.7719;4986.99;8.71;0.45
22.4913;4985.86;17.62;0.47
19.7151;4986.93;14.08;-0.3
15.9542;4801.52;44.78;0.03
16.2838;4901.3;33.33;0.17
24.7721;4912;39.1;0.01
9.61551;3350.72;29.08;-0.04
7.14493;1467.72;37.88;0.21
12.9599;4983.12;9.41;0.35
11.6765;4217.09;39.78;-0.06
16.5603;4968.91;29.8;0.22
3.07733;65.2472;12.5;-0.05
6.64851;1211.15;34.01;0.16
19.0434;4984.6;20.91;-0.02
8.71712;3131.12;37.72;-0.44
20.4066;4986.7;17.12;0.13
10.5935;4050.42;9.29;0.39
3.85605;185.578;15.69;0.46
21.5091;4976.14;23.52;0.12
7.23293;1641.37;40.77;-0.08
5.11402;519.981;15.22;-0.27
22.3247;4986.69;10.68;0.08
8.87977;2919.59;27.01;-0.21
20.9138;4985.08;20.87;-0.05
9.60526;3233.67;33.19;0.38
12.1998;4901.04;17.12;-0.17
15.8017;4984.95;6.48;-0.16
17.6704;4985.94;14.86;-0.09
12.3726;4700.51;42.43;-0.38
24.0615;4986.9;6.31;0.17
5.61182;773.521;6.64;-0.48
20.8014;4984.14;18.97;0.06
12.1243;4563.54;30.16;-0.35
24.3973;4985.45;14.23;0.14
24.0004;4984.95;16.38;0.19
24.3251;4986.72;13.91;-0.48
7.30856;1490.79;8.89;-0.27
23.3478;4856.98;38.34;0.39
16.179;4708.9;38.23;0.45
14.4997;4893.79;34.19;-0.09
6.70129;1245.93;34.05;0.42
12.1951;4742.72;23.87;-0.25
18.8586;4983.5;21.57;0.29
7.32251;1835.27;34.29;-0.38
16.3247;4986.21;17.08;0.25
22.015;4979.72;27.72;-0.44
12.2953;4811.38;21.58;-0.09
21.0365;4929.37;36.13;-0.32
9.13271;2718.68;19.92;0.47
5.12169;569.005;40.47;0.27
11.3066;4082.07;41.59;-0.13
7.98585;1974.9;40.02;0.14
22.2357;4986.52;10.47;0.37
3.15821;99.5641;28.6;0.05
12.6796;4981.78;5.16;-0.36
4.63203;400.695;36.33;0.12
8.31408;2361.76;44.9;-0.05
4.27347;258.241;8.61;-0.09
14.2675;4675.54;41.38;0.33
14.6817;4984.53;18.97;-0.18
17.6353;4838.13;43.75;0.25
16.284;4879.2;37.99;-0.26
13.9047;4465.2;42.1;0.11
4.74503;374.813;7.46;-0.15
7.94597;1863.97;24.34;0.47
4.9986;433.379;11.02;-0.03
20.3714;4868.1;34.9;0.25
21.7752;4940.06;29.06;0.45
18.0137;4772.68;42.49;-0.32
8.85974;2586.79;25.66;0.31
8.97349;2949.92;31.81;-0.33
5.52639;708.337;28.16;0.07
7.14432;1598.06;42.74;-0.16
13.6312;4542.12;39.1;0.34
20.6892;4986.23;8.37;-0.41
22.5266;4986.94;15.34;-0.43
3.77119;191.633;16.05;-0.26
3.34952;99.8715;19.61;0.2
17.5583;4986;8.88;-0.31
6.48112;1084.25;31.84;0.33
12.6945;4678.46;40.57;-0.44
3.59266;243.919;41.29;-0.49
11.4432;4679.74;9.84;0.33
11.9413;4414.19;28.29;0.32
6.08433;856.397;17.64;-0.13
6.78813;1073.93;6.55;0.29
13.1658;4857.83;22.77;0.03
20.3222;4949.86;32.71;-0.01
22.1839;4984.37;22.63;-0.25
20.2108;4978.89;20.99;-0.12
4.76108;431.341;26.61;0.19
19.43;4868.42;39.84;-0.06
15.9367;4972.44;27.07;-0.02
8.34763;2014.85;13.71;0.38
7.76164;2122.53;25.28;-0.43
20.9426;4980.85;22.91;-0.26
19.6566;4986.1;18.77;0.09
3.15837;91.6633;23.81;-0.05
4.94029;470.934;28.25;0.23
21.4873;4986.37;12.04;-0.38
7.22385;1570.66;18.86;-0.36
14.9049;4984.85;10.51;-0.42
21.9973;4983.81;21.15;0.11
11.8613;4714.17;24.92;-0.21
5.07164;524.374;26.35;-0.18
3.98201;250.814;35.89;0.23
3.561;124.652;9.01;0.26
5.65423;810.181;30.96;-0.29
14.331;4983.7;15.02;0.05
4.42061;275.958;5.62;0.31
24.8182;4923.75;42;-0.23
9.45424;2966.81;13.86;0.26
5.46933;780.741;37.63;-0.18
19.8651;4986.64;5.55;-0.26
24.7713;4894.08;35.07;0.02
23.0559;4854.08;43.41;0.26
12.5257;4589.69;24.48;-0.3
6.94468;1553.86;40.68;0.3
5.90072;713.729;9.52;0.21
7.74178;1688.09;20.27;0.19
19.6392;4922.19;28.44;0.44
4.23058;296.567;29.89;-0.1
15.8755;4824.45;34.36;-0.3
23.1371;4987.01;10.34;-0.16
5.48142;697.146;13.92;-0.41
6.93855;1523.17;41.29;0.06
6.27536;1023.32;39.83;0.23
5.27508;525.032;20.03;0.27
3.20828;122.365;31.3;-0.36
16.3427;4946.92;38.41;-0.42
16.1883;4939.27;23.43;0.44
25.026;4881.4;33.64;-0.13
16.3162;4984.86;26.12;-0.32
15.7995;4984.29;9.57;-0.43
23.5095;4986.69;12.43;-0.31
8.40904;2340.32;8.14;-0.32
4.83033;396.137;16.24;0.3
21.9334;4987.18;11.63;-0.31
20.3826;4979.87;26.36;0.18
17.7594;4903;37.07;0.22
22.4622;4970.28;25.69;0.19
16.5481;4782.98;44.84;0.43
16.5687;4982.58;21.63;-0.28
8.56726;2659.5;33.4;-0.24
6.18873;1156.84;39.85;-0.4
19.3808;4850.68;43.48;0.02
16.9486;4915.35;25.77;-0.27
12.1235;4920.75;17.01;-0.31
12.9881;4979.54;12.04;0.02
8.47789;2292.47;30.56;0.31
3.18799;128.714;26.78;-0.48
11.6379;4176.15;30.64;0.07
20.4543;4896.28;37.55;0.23
10.3982;3828.98;29.61;0.12
20.5122;4920.93;38.29;-0.23
3.46495;106.648;5.06;0.07
18.4425;4780.04;40.25;-0.33
9.993;3877.55;27.21;-0.41
12.1479;4408.33;39.26;0.21
10.8043;4250.82;11.29;0.39
15.0104;4794.23;36.72;0.01
23.1513;4986.78;9.53;-0.45
11.4104;4637.06;10.09;0.2
21.7712;4914;38.97;-0.1
11.0231;3960.93;37.03;-0.18
10.5656;3703.52;38.78;0.45
13.9095;4895.65;36.06;0.47
23.055;4987.01;8.5;0.42
5.56884;802.531;32.09;-0.42
11.2107;4295.35;16.08;0.49
12.934;4955.58;17.78;0.19
25.4179;4724.46;40.1;0.16
20.5365;4977.54;28.44;0.07
17.7246;4984.89;21.26;0.49
13.3476;4980.87;9.42;0.32
13.0812;4453.86;42.4;0.19
10.1179;3524.64;43.04;-0.2
4.85937;381.896;10.33;0.13
16.3957;4986.64;19.1;-0.25
17.798;4957.88;30.18;0.45
22.7319;4987.06;5.36;-0.07
12.8997;4805.27;28.21;0.16
5.9995;861.939;31.12;0.08
22.3861;4979.39;21.76;-0.4
24.303;4782.86;44.82;0.35
5.03444;521.772;15.05;-0.34
4.98326;568.369;38.39;-0.23
9.35409;3067.81;32.72;0.07
9.88286;3498.49;37.85;-0.38
4.75212;453.708;30.17;0.15
3.7345;187.827;34.34;0.34
22.3198;4983.31;20.98;-0.07
14.9238;4986.42;17.2;-0.17
10.3715;3998.58;7.01;-0.1
4.8577;448.194;20.76;-0.16
5.69806;746.914;28.93;0.01
20.1724;4918.8;41.25;0.09
20.6965;4780.45;41.49;0.47
21.2448;4984.57;19.49;0.34
23.9736;4987.22;8.76;0.41
20.6595;4983.71;20.05;-0.49
24.3396;4980.65;19.23;0.43
22.9725;4987.27;11.4;0.27
6.36183;1161.69;35.67;0.39
13.7403;4983.62;7.45;0.08
15.188;4603.35;38.84;0.01
18.8355;4903.67;34.88;0.12
19.8685;4986.96;6.62;-0.19
5.46691;984.332;38.14;-0.47
4.49451;395.315;17.9;-0.44
8.68692;2991.08;29.46;-0.49
12.127;4857.75;22.15;-0.17
21.4316;4986.73;9.06;0.02
17.0453;4986.34;16.64;-0.12
8.26949;2476.31;26.99;-0.35
7.17202;1497.96;34.03;0.05
17.2369;4985.55;7.53;0.33
7.73489;1767.28;24.86;0.1
8.44938;2089.05;9.79;0.14
22.3526;4986.87;8.15;-0.32
14.1396;4954.76;24.51;-0.2
11.0145;4068.57;41.59;-0.31
21.2348;4943.76;31.8;0.27
11.8396;4313.02;44.38;-0.14
24.3729;4825.54;42.77;-0.14
12.8285;4981.77;11.28;-0.24
13.6427;4785.76;32.36;0.16
20.7811;4720.36;42.09;-0.33
17.8385;4986.09;14.86;-0.5
8.08489;1871.68;16.94;0.4
9.9524;3655.62;26.56;-0.14
24.0563;4920.51;27.4;-0.23
21.6235;4986.57;18.18;0.17
24.269;4828.59;43.57;0.49
11.0327;4199.46;27.15;-0.04
12.4143;4914.19;14.65;0.28
24.0347;4776.3;43.24;-0.34
17.5934;4796.49;44.8;0.37
23.4497;4973.99;28.51;-0.41
9.29823;2900.34;41.75;0.38
16.7609;4794.91;44.5;0.09
17.7851;4985.21;13.68;0.21
23.3119;4986.77;11.08;0.12
3.84274;240.773;29.87;-0.3
25.1858;4986.1;13.76;-0.45
3.8434;236.578;38.91;0.1
14.0494;4896.88;29.97;-0.42
4.25836;337.589;23.77;-0.41
19.7048;4985.17;19.12;0.46
8.67571;2255.97;16.3;0.23
24.279;4977.3;22.62;-0.47
22.0996;4916.77;33.39;0.09
18.6405;4986.66;22.52;-0.07
6.43304;1109.29;36.88;-0.08
12.7932;4873.92;20.37;0.08
18.7441;4986.36;16;0
8.19237;2105.88;38.17;0.38
21.4452;4958.2;29.18;0.09
14.7098;4835.35;28.13;0.42
6.31124;988.26;39.35;0.33
10.4599;3866.05;21.15;0.37
22.3896;4965.98;25.5;-0.25
10.4564;3893.56;21.41;0.5
15.165;4892.54;30.79;-0.37
16.7042;4985.48;13.94;-0.01
24.8662;4966.85;22.37;-0.19
3.93774;247.588;39.28;0.26
10.7914;4065.28;27.76;0.05
20.7791;4951.8;28.62;-0.22
13.6196;4711.92;41.05;-0.16
13.0378;4983.07;6.79;0.4
17.4405;4946.79;28.68;0.46
23.9933;4792.76;44.21;-0.33
12.4293;4807.01;18.48;0.32
21.5347;4845.62;31.8;-0.39
18.1326;4947.01;30.04;-0.38
3.03782;64.4399;10.97;0.46
18.1323;4844.72;39.34;-0.23
7.24579;1431.49;25.3;-0.01
15.354;4965.2;18.91;0.18
7.28374;1474.89;17.36;-0.16
15.9532;4985.01;6.24;-0.19
8.81138;2668.11;26.62;0.08
14.918;4913.67;30.59;0.21
4.66926;341.634;11.33;0.07
22.9689;4971.24;26.76;0.12
24.2542;4980.51;20.1;-0.49
22.1667;4983.12;20.51;-0.29
15.3447;4781.21;42.51;0.26
5.38289;594.794;10.08;-0.23
21.0658;4939.98;36.9;-0.35
8.43331;2099.8;12.6;0.29
17.9863;4924.21;33.04;0.02
18.5757;4986.46;18.51;0.24
18.5679;4985.67;8.51;0.25
15.1865;4737.79;40.04;0.01
16.2873;4847.1;42.89;-0.26
8.86963;2759.03;34.1;0.42
24.0318;4943.59;35.46;-0.07
9.15923;3056.67;42.72;-0.11
16.8457;4984.29;17.93;0.42
8.36851;2197;26.91;0.1
6.53787;1097.54;31.65;-0.02
6.09393;1049.09;25.94;-0.48
5.21103;521.317;19.96;-0.06
14.2563;4490.36;44.22;-0.32
20.471;4971.12;29.28;0.22
5.35026;779.065;29.01;-0.48
16.414;4723.23;34.96;0.48
14.5865;4723.85;38.88;0.28
22.3752;4986.86;15.71;-0.29
15.2615;4984.34;5.14;0.46
17.0262;4789.11;44.36;0.35
7.9495;1872.64;19.79;-0.06
15.3012;4983.81;9.65;-0.31
7.43969;1648.28;10.65;-0.34
12.5618;4945.54;13.79;0.46
6.10198;856.029;6.5;-0.23
6.73324;1381.03;43.93;-0.14
8.22052;2456.65;19.26;-0.44
11.9391;4458.08;30.2;0.08
10.3251;3864.62;11.41;0.04
24.665;4985.43;18.15;-0.13
17.0504;4974.92;25.29;-0.15
12.8484;4965.76;8.48;0.36
25.0607;4959.91;33.35;-0.15
7.77239;1626.41;7.39;0.12
7.37349;1521.45;20.4;0
7.46471;1983.35;43.45;-0.33
25.4965;4924.15;38.55;-0.29
13.3284;4606.44;40.42;-0.17
22.0437;4926.8;40.24;0.41
13.1958;4905.2;20.74;0.11
8.76293;3047.75;30.36;-0.47
11.1009;4197.56;42.82;-0.29
3.58084;204.499;37.75;-0.16
6.38556;1154.17;22.35;-0.37
14.1153;4984.61;9.76;-0.25
16.7053;4985.15;7.88;-0.46
18.2497;4930.47;34.17;0.22
11.361;4210.24;44.66;-0.08
19.6017;4981.61;20.92;0.12
23.2673;4986.79;7.47;-0.14
15.2416;4850.84;39.13;-0.15
21.9228;4986.84;6.83;0.11
16.8429;4984.89;8.29;0.15
22.6007;4966.44;24.74;0.06
4.56727;326.068;15.13;0.26
14.7647;4816.14;36.57;-0.09
20.144;4987.2;15.56;-0.11
17.0927;4985.53;21.75;0
24.8116;4962.29;30.48;-0.21
5.53641;641.372;21.03;0.19
19.8733;4986.57;7.13;0.34
21.1746;4986.81;12.27;-0.1
17.7739;4985.83;9.63;-0.39
16.2207;4916.9;24.32;0.46
23.6527;4984.03;22.59;-0.25
14.1984;4466.21;44.65;0.02
21.5394;4920.55;37.27;-0.07
22.1702;4978.77;26.3;-0.42
11.2769;4168.76;42.11;-0.44
24.8432;4986.6;10.53;-0.4
11.4125;4402.01;25.24;-0.27
4.51404;360.797;21.53;-0.23
7.39248;1718.51;44.24;0.28
19.4824;4985.72;12.28;0.35
12.6278;4911.86;17.28;0.08
11.776;4914.3;12.43;-0.17
9.49339;3650.57;38.73;-0.46
9.08514;2682.5;6.49;-0.07
9.86954;3275.56;36.09;0.35
10.8242;3858.28;43.63;0.44
16.2345;4835.87;35.95;0.12
5.02474;540.219;11.17;-0.44
11.0226;4077.02;27.7;-0.05
22.2692;4985.31;20.72;-0.34
8.86145;2662.82;35.23;0.22
10.2888;4160.88;25.29;-0.46
3.26425;134.483;36.34;0.1
21.7814;4986.54;5.11;-0.43
21.3169;4985;18.9;-0.09
4.5762;342.209;17.91;-0.08
9.88994;3760.64;20.18;-0.3
8.31733;2310.12;25.05;-0.02
8.48629;2168.64;24.5;0.22
15.0264;4619.77;30.31;0.28
17.5586;4883.04;38.54;0.18
15.5072;4853.02;33.14;0.42
21.2565;4986.86;14.39;0.02
21.9811;4971.66;27.94;-0.43
6.50957;1174.84;14.28;-0.41
11.3954;4674.12;13.65;-0.08
18.7049;4913.22;31.65;0.4
11.3666;4667.22;14.07;0.1
13.0315;4974.13;16.15;-0.05
23.9927;4970.5;24.45;-0.07
18.6686;4959.99;27.34;-0.02
7.96754;1855.91;20.6;0.01
21.2057;4879.21;38.34;-0.17
12.1665;4721;18.84;0.08
15.0944;4868.82;38.01;-0.49
14.5922;4983.84;14.51;-0.45
12.0725;4482.97;43.34;0.29
9.77707;3038.13;41.34;0.33
21.6719;4983.74;17.99;0
11.0338;4369.44;17.13;0.22
6.58792;1098.38;22.75;-0.1
22.9153;4924.06;38.29;-0.25
20.3468;4986.57;5.29;-0.05
7.52613;1850.69;37.99;0.03
18.9902;4986.26;9.42;-0.33
20.6491;4986.45;9.73;-0.3
18.0893;4958.57;33.39;-0.02
13.0087;4981.44;6.17;-0.4
4.24959;296.13;27.92;-0.02
23.2167;4984.05;19.18;-0.08
23.5337;4934.51;39.51;-0.13
15.0797;4586.49;41.63;-0.18
24.1158;4984.68;15.39;-0.44
4.56705;435.273;17.61;-0.5
22.5159;4974.06;30.51;-0.17
17.2805;4943.57;30.92;0.02
23.1822;4934.63;35.83;0.04
13.251;4983.69;10.23;0.35
24.7821;4986.55;18.03;-0.08
16.9964;4983.24;16.2;0.05
4.12776;282.078;14;-0.42
18.7842;4823.39;40.73;0.36
3.29902;117.556;33.84;0.3
7.11531;1293.63;19.38;0.33
8.43367;2718.37;34.26;-0.43
18.535;4986.45;21.7;0.26
5.41355;697.328;31.51;0.24
7.86126;1700.17;9.98;0.34
8.49622;2584.05;31.92;-0.22
20.5429;4819.63;40.62;-0.15
7.40235;1573.79;28.89;0.08
13.4311;4947.74;21.84;-0.45
24.3914;4979.8;21.08;-0.15
18.544;4985.71;14.26;0.49
22.441;4985.66;16.99;-0.28
5.38429;808.893;39.77;-0.43
12.6664;4687.26;31.66;0.16
18.6891;4796.13;43.66;0.14
16.0888;4886.12;33.86;0.24
10.5037;3446.59;31.3;0.16
12.6949;4981.48;11.99;-0.17
13.8685;4974.45;15.36;-0.07
24.4092;4897.42;41.68;0.28
23.2525;4882.99;44.92;-0.38
19.0249;4985.53;15.18;-0.12
23.4899;4981.08;21.53;0.02
14.1264;4963.64;26.16;-0.18
21.4445;4958.82;29.98;0.26
18.5553;4936.13;25.37;0.21
17.4725;4792.87;44.33;-0.22
14.7745;4943.06;28.59;0.26
8.71025;2680.64;37.87;0.44
3.43149;109.429;10.08;-0.08
20.7736;4986.48;9.91;0.41
13.456;4938.48;14.63;0.01
9.84944;3551.89;21.87;-0.2
4.77727;447.387;32.26;0.24
18.517;4823.32;39.2;0.14
13.5058;4461.02;34.84;0.28
13.2645;4617.65;34.82;0.21
10.3088;3886.14;13.32;-0.09
6.0562;937.663;14.23;-0.39
20.1107;4986.68;9.46;0.28
21.3808;4986.47;16.04;-0.25
21.6771;4987.13;10.43;0.3
15.5569;4984.21;12.4;0.44
20.6012;4916.19;36.53;-0.45
20.5053;4878.78;36.93;0.24
19.0453;4888.51;42.15;0.04
