Average wind speed (m/s);Average power (kW);Input turbulence intensity (%);Input alpha
8.39869;2782.76;42.53;-0.44
4.74497;404.982;24.84;0.01
13.0287;4813.22;19.66;-0.04
24.9219;4987.17;8.79;0.09
21.8307;4961.5;34.32;0.47
11.1539;4420.87;20.05;0.17
8.27448;1995.57;6.49;-0.04
5.49375;617.439;18.72;0.03
20.5675;4986.93;20.09;-0.24
14.3114;4983.73;14.45;0.45
5.14168;519.418;16.33;-0.22
8.12453;2325.39;28.33;-0.29
20.7829;4986.72;5.43;-0.14
11.8317;4979.81;6.99;-0.36
15.5797;4982.24;15.09;0.32
13.7988;4983.89;7.93;-0.05
10.2125;3633.93;12.04;0.36
15.6585;4825.38;34.69;0.45
16.9684;4984.49;15.91;-0.28
9.99452;3524.46;23.63;0.03
9.92771;3321.38;5.76;0.32
19.9257;4706.02;44.82;-0.02
16.4851;4765.65;38.47;-0.29
17.6087;4954.71;28.76;0.03
6.05896;791.118;8.44;-0.06
21.674;4755.07;43.03;0.42
23.4559;4987.13;6.14;0.38
10.4963;4271.41;21.84;-0.34
11.5526;4094.83;44.86;0.27
11.4541;4627.13;14.91;0.18
20.2275;4987.1;10.86;-0.04
21.6128;4957.66;27.29;0.24
12.5956;4512.41;42.97;0.02
8.62684;2220.82;8.64;0.09
14.3761;4671.73;33.29;-0.07
25.9019;4805.64;39.85;-0.37
13.782;4668.44;41.44;0.16
4.75627;454.228;27.28;-0.19
9.89555;3406.09;19.66;0.16
4.60215;377.804;12.33;-0.3
12.855;4759.15;31.02;-0.11
19.9389;4985.6;11.78;0.45
23.9498;4985.47;19.53;-0.06
20.9589;4986.19;14.69;-0.25
22.6947;4889.5;41.65;-0.34
25.4514;4881.44;38.53;-0.19
3.00392;53.84;8.22;0.32
21.477;4958.86;29.42;-0.42
17.1146;4985.59;5.32;0.32
5.51321;697.666;29.41;-0.15
6.3913;1006.9;23.27;-0.03
3.25846;87.4663;13.08;-0.03
20.7942;4985.51;19.85;0.15
19.3241;4985.36;15.32;0.47
16.6671;4961.17;32.1;-0.36
20.7345;4856.5;43.52;0.2
4.84178;422.813;19.05;0.49
17.3935;4985.58;8.63;-0.19
22.3601;4895.21;38.69;0.02
20.2579;4902.32;38.97;-0.18
24.0263;4986.61;10.13;0.36
8.95307;2533.12;9.49;0
9.75532;3228.26;37.45;0.3
0;0;43.8;0.22
9.0643;2860.63;28.01;0.18
14.4883;4911.95;30.55;-0.11
15.7918;4985.55;15.16;-0.35
5.13798;621.314;34.17;-0.37
18.7526;4960.92;26.23;-0.16
11.1022;4708.18;8.78;-0.15
24.9261;4981.82;17.88;0.28
3.80337;246.838;21.91;-0.45
12.8732;4882.79;23.09;-0.13
13.9645;4854.86;19.88;0.17
21.4684;4935.08;33.19;-0.47
13.9441;4829.49;29.27;0.19
15.5422;4985.83;20.59;-0.38
7.80735;1819.22;34.39;0.17
10.2892;3639.49;31.11;0.48
7.75149;1761.14;18.18;-0.06
13.1209;4668.76;35.06;-0.07
4.55962;360.722;33.19;0.28
19.8005;4871.17;36.79;0.37
21.9998;4986.89;8.58;-0.32
3.53789;136.345;7.55;-0.24
9.27411;3083.86;26.63;0.01
23.5968;4963.76;31.32;-0.42
17.7895;4950.16;26.36;0.27
12.8154;4675.97;39.05;-0.32
22.5742;4978.4;26.42;-0.41
23.0301;4978.04;26.37;0.36
14.0087;4913.35;28.39;-0.1
4.46326;418.687;44.95;-0.21
21.7664;4963.73;29.51;0.23
18.9408;4985.43;13.23;0.33
7.37981;1406.69;12.05;0.36
12.592;4642.78;32.08;0.49
4.53772;325.962;15.8;0.12
22.1927;4925.7;21.36;0.29
4.60847;319.367;10.97;0.2
24.9226;4916.46;36.94;-0.39
16.0803;4830;44;0.13
19.1076;4985.89;6.71;0.31
17.2215;4984.79;19.11;-0.26
13.2244;4982.34;9.15;0.43
18.5158;4985.91;24.94;-0.21
14.7692;4684.85;42.52;0.14
13.4689;4980.02;10.63;-0.23
14.3144;4747.82;43.42;-0.4
3.16854;77.2347;18.56;0.22
3.71246;149.021;7.25;-0.08
19.331;4965.58;37.23;-0.3
7.99275;2030.96;34.31;0.03
12.9032;4463.73;43.65;0.34
3.41896;114.746;5.12;-0.22
22.7539;4982.39;22.1;0.21
20.7058;4983.81;17.05;0.24
14.2567;4900.68;32.72;-0.05
6.73901;1239.2;16.26;-0.32
13.9093;4913.61;22.65;0.09
19.0596;4693.92;44.99;0
19.0276;4986.62;7.73;-0.26
23.1904;4983.03;20.98;0.08
24.2778;4907.37;41.82;-0.08
7.67694;1615.04;17.96;0.18
20.9787;4947.25;28.73;0.2
21.7579;4981.72;23.33;-0.38
10.613;3862.39;44.44;0.35
14.3537;4985.16;11.24;-0.23
15.9451;4611.16;43.3;0.14
13.9235;4823.43;31.85;0.24
13.4868;4864.83;27.79;-0.16
10.4543;3854.25;28.77;0.24
10.8381;4002.87;36.59;0.44
6.09591;1012.22;34.47;-0.26
7.9584;1864.42;16.73;-0.09
16.2227;4894.75;32.95;0.48
15.6984;4740.13;41.48;0.08
24.968;4727.7;44.69;0.26
5.92505;920.149;5.53;-0.5
13.6559;4978.57;15.08;-0.07
10.7743;3972.07;32.53;0.46
15.0455;4802.21;41.66;-0.34
20.5343;4958.81;28.2;0.45
6.81259;1115.58;11.7;0.38
5.03296;586.46;40.5;0.35
12.4454;4977.14;9.57;0.48
24.0946;4874.47;42.74;0.29
11.5308;4266.15;27.46;-0.16
24.0156;4969.06;29.58;-0.26
21.0537;4986.63;17.48;-0.1
22.7456;4985.77;16.18;-0.26
6.73419;1402.54;41;0.44
9.84532;3336.2;22.68;0.32
12.7141;4912.82;17.33;0.39
18.5715;4985.2;16.27;-0.09
7.1232;1609.08;39.87;-0.27
13.7146;4975.03;15.64;0.01
18.2545;4905.84;35.99;-0.33
9.01094;2662.42;20.13;0.05
19.759;4958.91;31.52;-0.32
