Average wind speed (m/s);Average tip deflection out-of-plane (m);Average tip deflection in-plane (m);Input turbulence intensity (%);Input alpha
10.5935;4.92711;-0.541947;9.29;0.39
3.85605;1.23186;-0.100883;15.69;0.46
21.5091;1.03531;-0.212103;23.52;0.12
7.23293;2.84824;-0.297765;40.77;-0.08
5.11402;1.82643;-0.169235;15.22;-0.27
22.3247;0.936362;-0.192361;10.68;0.08
8.87977;3.96835;-0.431385;27.01;-0.21
20.9138;1.19702;-0.231333;20.87;-0.05
9.60526;4.0903;-0.454224;33.19;0.38
12.1998;4.1229;-0.512707;17.12;-0.17
15.8017;2.48942;-0.372387;6.48;-0.16
17.6704;1.96139;-0.317836;14.86;-0.09
12.3726;3.45523;-0.457131;42.43;-0.38
24.0615;0.608735;-0.147983;6.31;0.17
5.61182;2.1481;-0.208624;6.64;-0.48
20.8014;1.23952;-0.233652;18.97;0.06
12.1243;3.68722;-0.468262;30.16;-0.35
24.3973;0.560524;-0.141313;14.23;0.14
24.0004;0.599557;-0.155361;16.38;0.19
24.3251;0.342347;-0.140946;13.91;-0.48
7.30856;2.92199;-0.30244;8.89;-0.27
23.3478;0.562351;-0.157704;38.34;0.39
16.179;2.09431;-0.332512;38.23;0.45
14.4997;2.97708;-0.414031;34.19;-0.09
6.70129;2.50239;-0.255197;34.05;0.42
12.1951;3.93215;-0.490746;23.87;-0.25
18.8586;1.55707;-0.279824;21.57;0.29
7.32251;3.13113;-0.32954;34.29;-0.38
16.3247;2.32865;-0.357358;17.08;0.25
22.015;0.699556;-0.194084;27.72;-0.44
12.2953;4.1153;-0.506649;21.58;-0.09
21.0365;0.980882;-0.219836;36.13;-0.32
9.13271;3.9189;-0.422537;19.92;0.47
5.12169;1.75666;-0.163821;40.47;0.27
11.3066;3.7446;-0.453758;41.59;-0.13
7.98585;3.23091;-0.341985;40.02;0.14
22.2357;0.815246;-0.190059;10.47;0.37
3.15821;1.03655;-0.0807311;28.6;0.05
12.6796;3.57493;-0.475803;5.16;-0.36
4.63203;1.55933;-0.138965;36.33;0.12
8.31408;3.27899;-0.356089;44.9;-0.05
4.27347;1.42697;-0.120218;8.61;-0.09
14.2675;2.72177;-0.389803;41.38;0.33
14.6817;2.87067;-0.409246;18.97;-0.18
17.6353;1.91851;-0.319132;43.75;0.25
16.284;2.10591;-0.339397;37.99;-0.26
13.9047;2.99603;-0.400875;42.1;0.11
4.74503;1.6239;-0.144344;7.46;-0.15
7.94597;3.14637;-0.333101;24.34;0.47
4.9986;1.71011;-0.154413;11.02;-0.03
20.3714;1.19899;-0.230771;34.9;0.25
21.7752;0.805752;-0.19071;29.06;0.45
18.0137;1.65591;-0.286539;42.49;-0.32
8.85974;3.7124;-0.398705;25.66;0.31
8.97349;3.89001;-0.428601;31.81;-0.33
5.52639;1.97983;-0.188791;28.16;0.07
7.14432;2.87963;-0.301418;42.74;-0.16
13.6312;3.1697;-0.417815;39.1;0.34
20.6892;1.06764;-0.229399;8.37;-0.41
22.5266;0.690128;-0.185913;15.34;-0.43
3.77119;1.27869;-0.104699;16.05;-0.26
3.34952;1.06812;-0.0841879;19.61;0.2
17.5583;1.87465;-0.315242;8.88;-0.31
6.48112;2.38742;-0.241408;31.84;0.33
12.6945;3.29404;-0.442398;40.57;-0.44
3.59266;1.30691;-0.112027;41.29;-0.49
11.4432;4.90919;-0.565007;9.84;0.33
11.9413;4.05389;-0.486982;28.29;0.32
6.08433;2.23581;-0.217866;17.64;-0.13
6.78813;2.47302;-0.248166;6.55;0.29
13.1658;3.58532;-0.465582;22.77;0.03
20.3222;1.21837;-0.240403;32.71;-0.01
22.1839;0.889611;-0.198419;22.63;-0.25
20.2108;1.34128;-0.247873;20.99;-0.12
4.76108;1.63625;-0.147708;26.61;0.19
19.43;1.5153;-0.263161;39.84;-0.06
15.9367;2.42866;-0.365845;27.07;-0.02
8.34763;3.3647;-0.355752;13.71;0.38
7.76164;3.43465;-0.365581;25.28;-0.43
20.9426;1.12985;-0.227898;22.91;-0.26
19.6566;1.45687;-0.261757;18.77;0.09
3.15837;1.03795;-0.0813166;23.81;-0.05
4.94029;1.68367;-0.153006;28.25;0.23
21.4873;0.944968;-0.210803;12.04;-0.38
7.22385;2.95709;-0.308873;18.86;-0.36
14.9049;2.54311;-0.388014;10.51;-0.42
21.9973;0.961851;-0.200786;21.15;0.11
11.8613;4.17837;-0.510632;24.92;-0.21
5.07164;1.78851;-0.165819;26.35;-0.18
3.98201;1.32181;-0.112202;35.89;0.23
3.561;1.13535;-0.0891539;9.01;0.26
5.65423;2.1167;-0.205751;30.96;-0.29
14.331;3.11242;-0.428853;15.02;0.05
4.42061;1.43785;-0.122918;5.62;0.31
24.8182;0.303134;-0.131013;42;-0.23
9.45424;4.16345;-0.446961;13.86;0.26
5.46933;2.01951;-0.196892;37.63;-0.18
19.8651;1.38043;-0.255739;5.55;-0.26
24.7713;0.450827;-0.13462;35.07;0.02
23.0559;0.581323;-0.171635;43.41;0.26
12.5257;3.47502;-0.450631;24.48;-0.3
6.94468;2.74371;-0.284809;40.68;0.3
5.90072;2.06646;-0.196146;9.52;0.21
7.74178;3.07033;-0.319289;20.27;0.19
19.6392;1.30389;-0.253271;28.44;0.44
4.23058;1.43667;-0.124872;29.89;-0.1
15.8755;2.27527;-0.350858;34.36;-0.3
23.1371;0.781468;-0.172349;10.34;-0.16
5.48142;2.05102;-0.196041;13.92;-0.41
6.93855;2.73349;-0.280562;41.29;0.06
6.27536;2.29051;-0.229657;39.83;0.23
5.27508;1.79195;-0.165852;20.03;0.27
3.20828;1.09812;-0.0865194;31.3;-0.36
16.3427;1.90533;-0.330692;38.41;-0.42
16.1883;2.27579;-0.356539;23.43;0.44
25.026;0.396973;-0.129675;33.64;-0.13
16.3162;2.15548;-0.347024;26.12;-0.32
15.7995;2.23193;-0.358898;9.57;-0.43
23.5095;0.655405;-0.164595;12.43;-0.31
8.40904;3.74438;-0.3974;8.14;-0.32
4.83033;1.60926;-0.142882;16.24;0.3
21.9334;0.919614;-0.202468;11.63;-0.31
20.3826;1.22134;-0.238571;26.36;0.18
17.7594;1.7608;-0.301919;37.07;0.22
22.4622;0.824521;-0.191635;25.69;0.19
16.5481;1.95696;-0.326482;44.84;0.43
16.5687;2.15082;-0.34207;21.63;-0.28
8.56726;3.59758;-0.394698;33.4;-0.24
6.18873;2.46733;-0.252098;39.85;-0.4
19.3808;1.37136;-0.254429;43.48;0.02
16.9486;2.0855;-0.334717;25.77;-0.27
12.1235;4.0676;-0.511043;17.01;-0.31
12.9881;3.82001;-0.487762;12.04;0.02
8.47789;3.48374;-0.37258;30.56;0.31
3.18799;1.1186;-0.0886923;26.78;-0.48
11.6379;3.79746;-0.458975;30.64;0.07
20.4543;1.16687;-0.231479;37.55;0.23
10.3982;4.24361;-0.483415;29.61;0.12
20.5122;1.09226;-0.229892;38.29;-0.23
3.46495;1.10702;-0.0870247;5.06;0.07
18.4425;1.3985;-0.264846;40.25;-0.33
9.993;4.20345;-0.486417;27.21;-0.41
12.1479;3.73296;-0.465317;39.26;0.21
10.8043;4.9213;-0.551453;11.29;0.39
15.0104;2.74871;-0.389664;36.72;0.01
23.1513;0.56487;-0.168388;9.53;-0.45
11.4104;4.81528;-0.555969;10.09;0.2
21.7712;0.93249;-0.21373;38.97;-0.1
11.0231;3.80716;-0.454684;37.03;-0.18
10.5656;3.68637;-0.437556;38.78;0.45
13.9095;3.12528;-0.433944;36.06;0.47
23.055;0.599191;-0.163981;8.5;0.42
5.56884;2.11083;-0.20521;32.09;-0.42
11.2107;4.41907;-0.515668;16.08;0.49
12.934;3.8859;-0.492972;17.78;0.19
25.4179;0.286979;-0.107878;40.1;0.16
20.5365;1.22213;-0.241286;28.44;0.07
17.7246;1.71438;-0.306442;21.26;0.49
13.3476;3.54051;-0.46831;9.42;0.32
13.0812;3.27945;-0.425553;42.4;0.19
10.1179;3.87164;-0.444466;43.04;-0.2
4.85937;1.61862;-0.143634;10.33;0.13
16.3957;2.25214;-0.349784;19.1;-0.25
17.798;1.77391;-0.305388;30.18;0.45
22.7319;0.905264;-0.186138;5.36;-0.07
12.8997;3.85345;-0.48402;28.21;0.16
5.9995;2.17619;-0.213279;31.12;0.08
22.3861;0.727337;-0.190918;21.76;-0.4
24.303;0.430948;-0.138077;44.82;0.35
5.03444;1.81491;-0.168401;15.05;-0.34
4.98326;1.79618;-0.167169;38.39;-0.23
9.35409;3.98492;-0.437683;32.72;0.07
9.88286;3.61344;-0.425662;37.85;-0.38
4.75212;1.64762;-0.150325;30.17;0.15
3.7345;1.21015;-0.0992061;34.34;0.34
22.3198;0.901584;-0.189469;20.98;-0.07
14.9238;2.78329;-0.401185;17.2;-0.17
10.3715;5.00823;-0.544016;7.01;-0.1
4.8577;1.70169;-0.154777;20.76;-0.16
5.69806;2.05299;-0.197539;28.93;0.01
20.1724;1.20432;-0.239726;41.25;0.09
20.6965;1.05107;-0.218439;41.49;0.47
21.2448;0.985988;-0.212757;19.49;0.34
23.9736;0.468868;-0.145203;8.76;0.41
20.6595;0.974481;-0.226879;20.05;-0.49
24.3396;0.340355;-0.131416;19.23;0.43
22.9725;0.749466;-0.174814;11.4;0.27
6.36183;2.3911;-0.243833;35.67;0.39
13.7403;3.36931;-0.451338;7.45;0.08
15.188;2.59593;-0.366417;38.84;0.01
18.8355;1.59693;-0.283276;34.88;0.12
19.8685;1.42566;-0.256951;6.62;-0.19
5.46691;2.19964;-0.220025;38.14;-0.47
4.49451;1.62899;-0.145573;17.9;-0.44
8.68692;3.95776;-0.435385;29.46;-0.49
12.127;4.21891;-0.51794;22.15;-0.17
21.4316;1.13768;-0.217997;9.06;0.02
17.0453;2.12661;-0.335887;16.64;-0.12
8.26949;3.7381;-0.398658;26.99;-0.35
7.17202;2.80626;-0.288935;34.03;0.05
17.2369;2.00633;-0.325881;7.53;0.33
7.73489;3.11576;-0.323616;24.86;0.1
8.44938;3.47989;-0.366967;9.79;0.14
22.3526;0.850212;-0.191329;8.15;-0.32
14.1396;3.09504;-0.427403;24.51;-0.2
11.0145;3.76668;-0.457054;41.59;-0.31
21.2348;1.04561;-0.220116;31.8;0.27
11.8396;3.47032;-0.441616;44.38;-0.14
24.3729;0.402268;-0.137054;42.77;-0.14
12.8285;3.71852;-0.483569;11.28;-0.24
13.6427;3.37035;-0.442673;32.36;0.16
20.7811;1.02756;-0.210698;42.09;-0.33
17.8385;1.56432;-0.297674;14.86;-0.5
8.08489;3.20512;-0.338339;16.94;0.4
9.9524;4.53009;-0.498628;26.56;-0.14
24.0563;0.527929;-0.14226;27.4;-0.23
21.6235;1.00562;-0.210336;18.18;0.17
24.269;0.472036;-0.149546;43.57;0.49
11.0327;4.29949;-0.500755;27.15;-0.04
12.4143;4.20505;-0.519174;14.65;0.28
24.0347;0.666044;-0.171359;43.24;-0.34
17.5934;1.70559;-0.296164;44.8;0.37
23.4497;0.524563;-0.165381;28.51;-0.41
9.29823;3.61117;-0.404989;41.75;0.38
16.7609;2.13895;-0.332769;44.5;0.09
17.7851;1.9359;-0.315321;13.68;0.21
23.3119;0.747423;-0.166977;11.08;0.12
3.84274;1.32314;-0.112884;29.87;-0.3
25.1858;0.233701;-0.122643;13.76;-0.45
3.8434;1.27654;-0.108679;38.91;0.1
14.0494;2.86064;-0.413653;29.97;-0.42
4.25836;1.52403;-0.133584;23.77;-0.41
19.7048;1.26666;-0.252556;19.12;0.46
8.67571;3.60799;-0.381661;16.3;0.23
24.279;0.324344;-0.143353;22.62;-0.47
22.0996;0.932539;-0.197221;33.39;0.09
18.6405;1.68543;-0.289677;22.52;-0.07
6.43304;2.43121;-0.244986;36.88;-0.08
12.7932;3.87514;-0.489327;20.37;0.08
18.7441;1.71044;-0.28901;16;0
8.19237;3.28455;-0.352129;38.17;0.38
21.4452;1.03054;-0.212855;29.18;0.09
14.7098;2.87543;-0.405199;28.13;0.42
6.31124;2.26995;-0.226779;39.35;0.33
10.4599;4.48271;-0.50371;21.15;0.37
22.3896;0.842932;-0.190297;25.5;-0.25
10.4564;4.4779;-0.506852;21.41;0.5
15.165;2.52979;-0.379201;30.79;-0.37
16.7042;2.29495;-0.3496;13.94;-0.01
24.8662;0.51376;-0.134408;22.37;-0.19
3.93774;1.29707;-0.110541;39.28;0.26
10.7914;4.36668;-0.500856;27.76;0.05
20.7791;1.18218;-0.237867;28.62;-0.22
13.6196;3.25385;-0.431425;41.05;-0.16
13.0378;3.67185;-0.480765;6.79;0.4
17.4405;1.85776;-0.312837;28.68;0.46
23.9933;0.359814;-0.139946;44.21;-0.33
12.4293;4.03589;-0.501179;18.48;0.32
21.5347;0.860766;-0.201815;31.8;-0.39
18.1326;1.59125;-0.292212;30.04;-0.38
3.03782;0.953372;-0.0713814;10.97;0.46
18.1323;1.7904;-0.298305;39.34;-0.23
7.24579;2.82089;-0.291395;25.3;-0.01
15.354;2.72472;-0.392268;18.91;0.18
7.28374;2.88548;-0.296752;17.36;-0.16
15.9532;2.4199;-0.366339;6.24;-0.19
8.81138;3.84634;-0.412308;26.62;0.08
14.918;2.90616;-0.407706;30.59;0.21
4.66926;1.5604;-0.135936;11.33;0.07
22.9689;0.730441;-0.177065;26.76;0.12
24.2542;0.329532;-0.148574;20.1;-0.49
22.1667;0.879229;-0.19561;20.51;-0.29
15.3447;2.49234;-0.3708;42.51;0.26
5.38289;1.93342;-0.181525;10.08;-0.23
21.0658;0.888083;-0.212395;36.9;-0.35
8.43331;3.44407;-0.363848;12.6;0.29
17.9863;1.82752;-0.303845;33.04;0.02
18.5757;1.64915;-0.286684;18.51;0.24
18.5679;1.69209;-0.289474;8.51;0.25
15.1865;2.66036;-0.378882;40.04;0.01
16.2873;2.23629;-0.347084;42.89;-0.26
8.86963;3.6205;-0.400126;34.1;0.42
24.0318;0.481645;-0.151802;35.46;-0.07
9.15923;3.72741;-0.418258;42.72;-0.11
16.8457;2.06858;-0.335021;17.93;0.42
8.36851;3.50088;-0.369692;26.91;0.1
6.53787;2.4542;-0.247705;31.65;-0.02
6.09393;2.40157;-0.241914;25.94;-0.48
5.21103;1.81297;-0.167496;19.96;-0.06
14.2563;2.6134;-0.371717;44.22;-0.32
20.471;1.17376;-0.233219;29.28;0.22
5.35026;2.06118;-0.201745;29.01;-0.48
16.414;1.99573;-0.32069;34.96;0.48
14.5865;2.88169;-0.400033;38.88;0.28
22.3752;0.82027;-0.189927;15.71;-0.29
15.2615;2.55453;-0.384697;5.14;0.46
17.0262;2.00958;-0.327316;44.36;0.35
7.9495;3.26609;-0.341322;19.79;-0.06
15.3012;2.53001;-0.382316;9.65;-0.31
7.43969;3.06426;-0.320598;10.65;-0.34
12.5618;3.93898;-0.502176;13.79;0.46
6.10198;2.26642;-0.220568;6.5;-0.23
6.73324;2.6339;-0.270367;43.93;-0.14
8.22052;3.76493;-0.403299;19.26;-0.44
11.9391;3.94248;-0.48107;30.2;0.08
10.3251;4.83502;-0.527294;11.41;0.04
24.665;0.515343;-0.137202;18.15;-0.13
17.0504;2.11238;-0.33355;25.29;-0.15
12.8484;3.84201;-0.492875;8.48;0.36
25.0607;0.347069;-0.135042;33.35;-0.15
7.77239;3.03826;-0.315118;7.39;0.12
7.37349;2.91506;-0.299267;20.4;0
7.46471;3.19958;-0.339439;43.45;-0.33
25.4965;0.223964;-0.117643;38.55;-0.29
13.3284;3.13736;-0.419123;40.42;-0.17
22.0437;0.667091;-0.186253;40.24;0.41
13.1958;3.73873;-0.478079;20.74;0.11
8.76293;3.89292;-0.433724;30.36;-0.47
11.1009;3.85493;-0.470753;42.82;-0.29
3.58084;1.22574;-0.101173;37.75;-0.16
6.38556;2.53118;-0.256407;22.35;-0.37
14.1153;3.02406;-0.425024;9.76;-0.25
16.7053;1.92468;-0.330975;7.88;-0.46
18.2497;1.61631;-0.287185;34.17;0.22
11.361;3.67127;-0.453187;44.66;-0.08
19.6017;1.45638;-0.262516;20.92;0.12
23.2673;0.786641;-0.170959;7.47;-0.14
15.2416;2.65911;-0.385215;39.13;-0.15
21.9228;1.02654;-0.204417;6.83;0.11
16.8429;2.20885;-0.342689;8.29;0.15
22.6007;0.857056;-0.188078;24.74;0.06
4.56727;1.50177;-0.130109;15.13;0.26
14.7647;2.66597;-0.384912;36.57;-0.09
20.144;1.38435;-0.251415;15.56;-0.11
17.0927;2.12007;-0.334952;21.75;0
24.8116;0.35362;-0.132586;30.48;-0.21
5.53641;1.93814;-0.181884;21.03;0.19
19.8733;1.32804;-0.251436;7.13;0.34
21.1746;1.17997;-0.224332;12.27;-0.1
17.7739;1.72195;-0.30392;9.63;-0.39
16.2207;2.27813;-0.353621;24.32;0.46
23.6527;0.615581;-0.162202;22.59;-0.25
14.1984;2.76443;-0.383462;44.65;0.02
21.5394;0.984144;-0.216914;37.27;-0.07
22.1702;0.706806;-0.191231;26.3;-0.42
11.2769;3.41426;-0.435709;42.11;-0.44
24.8432;0.350286;-0.129029;10.53;-0.4
11.4125;4.02352;-0.487808;25.24;-0.27
4.51404;1.56337;-0.138565;21.53;-0.23
7.39248;2.88207;-0.301814;44.24;0.28
19.4824;1.41009;-0.262044;12.28;0.35
12.6278;4.07627;-0.5071;17.28;0.08
11.776;4.51491;-0.543716;12.43;-0.17
9.49339;4.2026;-0.478486;38.73;-0.46
9.08514;4.04787;-0.428255;6.49;-0.07
9.86954;3.78971;-0.431282;36.09;0.35
10.8242;3.65348;-0.443387;43.63;0.44
16.2345;2.42711;-0.358158;35.95;0.12
5.02474;1.85032;-0.171706;11.17;-0.44
11.0226;4.09079;-0.479788;27.7;-0.05
22.2692;0.809447;-0.191805;20.72;-0.34
8.86145;3.62394;-0.394763;35.23;0.22
10.2888;4.28626;-0.503979;25.29;-0.46
3.26425;1.07497;-0.0855062;36.34;0.1
21.7814;0.844201;-0.202605;5.11;-0.43
21.3169;1.10953;-0.218364;18.9;-0.09
4.5762;1.5556;-0.135718;17.91;-0.08
9.88994;4.48991;-0.50053;20.18;-0.3
8.31733;3.56302;-0.375888;25.05;-0.02
8.48629;3.4845;-0.369131;24.5;0.22
15.0264;2.54131;-0.366698;30.31;0.28
17.5586;2.01799;-0.320036;38.54;0.18
15.5072;2.48621;-0.373805;33.14;0.42
21.2565;1.15035;-0.220392;14.39;0.02
21.9811;0.707498;-0.193634;27.94;-0.43
6.50957;2.57017;-0.262304;14.28;-0.41
11.3954;4.6842;-0.546437;13.65;-0.08
18.7049;1.53391;-0.275439;31.65;0.4
11.3666;4.84385;-0.558452;14.07;0.1
13.0315;3.72423;-0.480831;16.15;-0.05
23.9927;0.616537;-0.154563;24.45;-0.07
18.6686;1.7815;-0.296084;27.34;-0.02
7.96754;3.2384;-0.338795;20.6;0.01
21.2057;1.05258;-0.215728;38.34;-0.17
12.1665;4.21519;-0.511396;18.84;0.08
15.0944;2.3802;-0.370505;38.01;-0.49
14.5922;2.601;-0.395767;14.51;-0.45
12.0725;3.6561;-0.463223;43.34;0.29
9.77707;3.39267;-0.390048;41.34;0.33
21.6719;1.07759;-0.213229;17.99;0
11.0338;4.80774;-0.544447;17.13;0.22
6.58792;2.48705;-0.24967;22.75;-0.1
22.9153;0.628127;-0.180401;38.29;-0.25
20.3468;1.36222;-0.245962;5.29;-0.05
7.52613;3.02557;-0.318442;37.99;0.03
18.9902;1.51068;-0.275109;9.42;-0.33
20.6491;1.16936;-0.232697;9.73;-0.3
18.0893;1.75444;-0.299073;33.39;-0.02
13.0087;3.33958;-0.457796;6.17;-0.4
4.24959;1.42461;-0.123794;27.92;-0.02
23.2167;0.766751;-0.170918;19.18;-0.08
23.5337;0.578757;-0.161353;39.51;-0.13
15.0797;2.48397;-0.355797;41.63;-0.18
24.1158;0.432829;-0.150505;15.39;-0.44
4.56705;1.66668;-0.152468;17.61;-0.5
22.5159;0.799632;-0.193387;30.51;-0.17
17.2805;2.12367;-0.333439;30.92;0.02
23.1822;0.718527;-0.179826;35.83;0.04
13.251;3.56501;-0.471245;10.23;0.35
24.7821;0.50285;-0.13471;18.03;-0.08
16.9964;2.18094;-0.338935;16.2;0.05
4.12776;1.45086;-0.125551;14;-0.42
18.7842;1.3947;-0.263955;40.73;0.36
3.29902;1.06472;-0.0837474;33.84;0.3
7.11531;2.64834;-0.270096;19.38;0.33
8.43367;3.81402;-0.415492;34.26;-0.43
18.535;1.69094;-0.291134;21.7;0.26
5.41355;1.92177;-0.184699;31.51;0.24
7.86126;3.07692;-0.321102;9.98;0.34
8.49622;3.73774;-0.401905;31.92;-0.22
20.5429;1.21842;-0.231775;40.62;-0.15
7.40235;2.90177;-0.298491;28.89;0.08
13.4311;3.05814;-0.433805;21.84;-0.45
24.3914;0.564311;-0.14527;21.08;-0.15
18.544;1.49904;-0.28031;14.26;0.49
22.441;0.826092;-0.188482;16.99;-0.28
5.38429;2.05156;-0.200036;39.77;-0.43
12.6664;3.79948;-0.477035;31.66;0.16
18.6891;1.64589;-0.283512;43.66;0.14
16.0888;2.41356;-0.361503;33.86;0.24
10.5037;3.64032;-0.42171;31.3;0.16
12.6949;3.81267;-0.490283;11.99;-0.17
13.8685;3.26296;-0.441955;15.36;-0.07
24.4092;0.396655;-0.149006;41.68;0.28
23.2525;0.521482;-0.169245;44.92;-0.38
19.0249;1.64039;-0.281077;15.18;-0.12
23.4899;0.74026;-0.164127;21.53;0.02
14.1264;3.09526;-0.42873;26.16;-0.18
21.4445;1.00989;-0.212843;29.98;0.26
18.5553;1.73633;-0.290045;25.37;0.21
17.4725;1.96328;-0.317362;44.33;-0.22
14.7745;2.85472;-0.407154;28.59;0.26
8.71025;3.62971;-0.398087;37.87;0.44
3.43149;1.1124;-0.0874355;10.08;-0.08
20.7736;1.0766;-0.22563;9.91;0.41
13.456;3.53776;-0.463289;14.63;0.01
9.84944;4.32824;-0.480598;21.87;-0.2
4.77727;1.62433;-0.148426;32.26;0.24
18.517;1.73738;-0.290701;39.2;0.14
13.5058;3.10221;-0.409361;34.84;0.28
13.2645;3.1011;-0.418747;34.82;0.21
10.3088;4.72299;-0.520245;13.32;-0.09
6.0562;2.33221;-0.231094;14.23;-0.39
20.1107;1.31976;-0.247356;9.46;0.28
21.3808;1.04887;-0.216516;16.04;-0.25
21.6771;0.961991;-0.204418;10.43;0.3
15.5569;2.50085;-0.377694;12.4;0.44
20.6012;1.00589;-0.229413;36.53;-0.45
20.5053;1.18972;-0.234228;36.93;0.24
19.0453;1.52756;-0.27696;42.15;0.04
20.5035;1.22725;-0.235995;42.36;0.16
17.48;2.01265;-0.324472;21.62;-0.01
11.6575;4.36823;-0.520609;19.3;0.27
6.71615;2.52981;-0.259725;43.45;0.27
11.0831;4.75913;-0.541812;12.34;0.35
14.2484;2.91372;-0.410117;39.33;-0.18
8.59196;3.73821;-0.394841;12.61;-0.15
11.4901;4.21578;-0.50496;31.25;0.36
6.31268;2.35005;-0.231304;5.63;-0.18
24.3726;0.318272;-0.134569;34.55;0.4
18.1103;1.86447;-0.311955;36.69;0.12
14.2457;2.74739;-0.406537;25.02;-0.45
24.106;0.496161;-0.143691;8.1;0.34
23.2823;0.460282;-0.164639;28.06;-0.48
7.29923;2.80343;-0.286901;11.77;0.01
19.0189;1.48845;-0.272076;36.7;0.11
4.75712;1.58387;-0.141064;16.21;0.21
10.8621;4.15421;-0.500072;28.89;-0.44
10.2945;4.74869;-0.515903;7.82;0.31
18.2632;1.76035;-0.298343;25.67;0.21
9.55307;4.26185;-0.455707;14.63;0.16
5.48451;2.03421;-0.197488;40.01;-0.19
4.32906;1.49542;-0.130373;17.78;-0.26
5.96055;2.09039;-0.20032;15.57;0.14
10.2608;4.59426;-0.508819;20.24;0.44
13.1755;3.71695;-0.479173;16.21;0.2
20.6648;1.2295;-0.236111;13.69;0.2
4.11368;1.36757;-0.115435;8.29;-0.12
4.34389;1.48657;-0.129527;18.65;-0.2
22.2453;0.709082;-0.191188;11.83;-0.46
20.464;1.13323;-0.227964;38.57;0.34
10.6169;3.93789;-0.463169;30.12;-0.22
9.99089;3.76602;-0.426546;31.01;0.45
18.6782;1.52412;-0.277153;35.74;0.44
8.9117;3.81719;-0.40886;22.27;0.24
10.3948;4.84651;-0.525474;10.69;0.21
12.7534;3.81827;-0.48131;22.51;0.24
21.548;0.938216;-0.201724;44.67;0.1
15.149;2.34122;-0.374797;10.78;-0.5
8.38553;3.81297;-0.40756;18.36;-0.38
3.79678;1.3117;-0.111791;40.9;-0.21
3.60267;1.21046;-0.10004;36.35;-0.09
4.50056;1.62808;-0.145494;14.16;-0.45
22.3332;0.894623;-0.193761;24.79;0.02
23.849;0.583663;-0.156204;23.38;-0.23
10.8746;5.18105;-0.581912;5.61;-0.17
8.13138;3.56969;-0.378834;12.03;-0.36
17.1994;2.08367;-0.32612;34.34;-0.13
17.2695;1.8492;-0.314134;43.93;-0.26
3.10134;1.00393;-0.0779619;26.99;0.24
15.2164;2.70582;-0.393325;8.15;0.24
12.5103;3.78207;-0.477536;34.32;0.37
18.2704;1.68137;-0.294863;41.28;-0.21
21.6931;0.786941;-0.201302;43.29;-0.48
23.9325;0.476714;-0.148912;39.25;0.27
23.2694;0.667346;-0.168747;7.65;-0.34
12.7442;3.16895;-0.408621;40.08;0.39
15.0509;2.50458;-0.382299;12.81;-0.4
13.1494;3.41208;-0.459976;7.71;-0.3
4.57968;1.7233;-0.16121;42.5;-0.47
19.965;1.24456;-0.246781;21.25;0.37
20.0182;1.42768;-0.254274;5.39;0.06
18.5332;1.40914;-0.273589;31.47;0.49
7.17564;2.74079;-0.280837;25.92;0.14
8.46379;3.73862;-0.409518;40.36;-0.28
16.9645;1.90638;-0.322917;40.69;-0.34
7.23908;3.13607;-0.330012;29.54;-0.48
4.97375;1.7267;-0.160605;42.89;0.02
9.48561;4.28205;-0.465143;26.15;-0.14
7.11327;2.63491;-0.269076;9.84;0.33
10.894;4.49238;-0.514586;20.82;-0.1
3.52092;1.22807;-0.100857;33.23;-0.31
6.59672;2.37482;-0.237432;5.75;0.41
12.571;3.90499;-0.487623;22.49;0.11
4.64154;1.6667;-0.149329;7.56;-0.42
15.6206;2.2311;-0.358504;40.04;-0.41
18.2208;1.55735;-0.292057;34.27;-0.37
7.43932;2.87165;-0.295828;12.18;0.04
14.5457;2.9416;-0.413516;15.53;-0.17
6.62452;2.53652;-0.254914;6.34;-0.24
14.9091;2.74674;-0.393651;26.87;0.43
18.4282;1.79023;-0.297456;11.9;0.04
12.8619;3.45466;-0.453567;20.7;-0.35
15.0649;2.65552;-0.385723;33.75;0.27
10.315;4.40707;-0.494751;26.4;0.15
10.6953;5.01273;-0.566418;10.69;-0.24
4.48442;1.59362;-0.146135;44.62;-0.09
20.03;1.17893;-0.241906;13.31;0.47
11.0494;3.74095;-0.447066;42.37;0.13
11.8588;4.29836;-0.517291;20.79;0.09
21.86;0.94755;-0.204928;28.23;-0.29
10.9184;3.70131;-0.437061;40.76;0.33
9.62914;4.31446;-0.460584;7.87;0.24
13.0258;3.44991;-0.44616;24.29;0.28
20.425;1.10312;-0.236408;16.73;-0.41
3.4648;1.14008;-0.0903823;27.27;-0.19
19.5673;1.44045;-0.258723;30.45;0.12
10.366;4.1663;-0.472552;27.26;0.47
6.77595;2.53172;-0.257397;24.88;0.38
11.2668;4.56181;-0.525871;21.36;0.06
5.30509;1.81222;-0.167367;15.98;0.19
6.08969;2.20038;-0.219711;36.82;0.49
24.6453;0.543515;-0.1404;17.18;-0.06
22.6726;0.589102;-0.176481;36.73;-0.39
18.2535;1.62776;-0.287984;37.19;0.05
3.79421;1.35172;-0.115291;15.14;-0.47
9.12625;4.2741;-0.459724;17.2;-0.31
22.5728;0.532244;-0.188071;44.22;-0.5
12.8382;3.44079;-0.465742;18.02;-0.42
23.5994;0.666316;-0.162571;19.04;-0.11
