Average wind speed (m/s);Average tip deflection out-of-plane (m);Average tip deflection in-plane (m);Input turbulence intensity (%);Input alpha
5.56488;1.94384;-0.181912;6.66;-0.02
17.5453;1.87264;-0.315383;6.34;-0.32
10.9368;4.09663;-0.479535;24.81;-0.05
15.3614;2.71022;-0.38908;34.31;-0.13
17.4167;1.8999;-0.318059;27.56;0.33
12.3791;3.15772;-0.405014;44.14;0.49
13.4535;3.47935;-0.462516;15.36;0.29
11.2736;4.32287;-0.506123;22.73;-0.03
15.0547;2.61905;-0.377667;41.59;0.31
23.2085;0.723065;-0.170491;30.98;-0.19
10.6019;3.92881;-0.46009;44.86;0.09
9.577;3.8253;-0.428295;41.9;0.03
17.7431;1.9888;-0.317967;15.3;0.12
8.64509;3.70745;-0.398237;32.21;-0.1
10.8242;3.71494;-0.44343;30.1;0.06
23.9068;0.480511;-0.143205;38.58;-0.39
11.6262;4.08248;-0.490508;25.43;-0.1
21.0674;1.0697;-0.223818;24.22;-0.29
10.9354;4.08065;-0.492408;26.89;-0.38
3.63477;1.23879;-0.102007;35.43;-0.27
23.0087;0.78497;-0.175448;28.39;0.12
3.65197;1.19638;-0.0958626;5.42;-0.11
8.24163;3.62889;-0.383655;16.61;-0.28
16.4861;2.31382;-0.351335;26.2;0.09
10.3338;4.47488;-0.500292;20.69;0.35
14.0212;3.03855;-0.418699;40.1;-0.22
17.4423;1.80397;-0.310237;32.73;-0.38
14.3038;2.97221;-0.418205;25.9;0.5
8.91168;3.73539;-0.401307;14.97;0.48
22.8599;0.6306;-0.174219;36.42;0.12
14.9971;2.83081;-0.39783;28.62;-0.09
7.77774;3.14904;-0.32843;13;-0.06
5.37272;1.82241;-0.168168;12.86;0.36
4.51602;1.49581;-0.132411;27.46;0.45
11.4209;3.63821;-0.45213;44.63;-0.21
15.0405;2.81867;-0.401889;14.92;0.05
20.2844;1.16624;-0.23987;8.9;-0.39
6.02974;2.11386;-0.203863;9.06;0.27
8.74434;3.88733;-0.413545;16.17;-0.18
17.0396;2.11669;-0.324157;39.23;0.21
5.32327;1.85932;-0.171832;22.72;-0.04
11.4918;4.49228;-0.545996;7.05;-0.33
3.73338;1.31139;-0.11132;20.97;-0.46
21.1345;1.16875;-0.225032;12.09;-0.16
18.5895;1.74718;-0.291946;6.54;-0.07
8.39869;3.7133;-0.411231;42.53;-0.44
4.74497;1.61263;-0.143241;24.84;0.01
13.0287;3.68417;-0.470357;19.66;-0.04
24.9219;0.510503;-0.131152;8.79;0.09
21.8307;0.718858;-0.195151;34.32;0.47
11.1539;4.61044;-0.532593;20.05;0.17
8.27448;3.42386;-0.359226;6.49;-0.04
5.49375;1.92248;-0.180132;18.72;0.03
20.5675;1.21413;-0.238292;20.09;-0.24
14.3114;2.95461;-0.421108;14.45;0.45
5.14168;1.82536;-0.16886;16.33;-0.22
8.12453;3.59074;-0.381389;28.33;-0.29
20.7829;1.25525;-0.234104;5.43;-0.14
11.8317;4.20018;-0.525084;6.99;-0.36
15.5797;2.6164;-0.384686;15.09;0.32
13.7988;3.3104;-0.446736;7.93;-0.05
10.2125;4.6233;-0.504671;12.04;0.36
15.6585;2.37415;-0.359583;34.69;0.45
16.9684;2.04843;-0.331045;15.91;-0.28
9.99452;4.36094;-0.480542;23.63;0.03
9.92771;4.51624;-0.484867;5.76;0.32
19.9257;1.29141;-0.237094;44.82;-0.02
16.4851;2.03923;-0.322437;38.47;-0.29
17.6087;1.97522;-0.319397;28.76;0.03
6.05896;2.18276;-0.209483;8.44;-0.06
21.674;0.863698;-0.193016;43.03;0.42
23.4559;0.580227;-0.157749;6.14;0.38
10.4963;4.6123;-0.529303;21.84;-0.34
11.5526;3.43231;-0.426914;44.86;0.27
11.4541;4.72704;-0.548693;14.91;0.18
20.2275;1.38636;-0.249076;10.86;-0.04
21.6128;1.00627;-0.212247;27.29;0.24
12.5956;3.42198;-0.442672;42.97;0.02
8.62684;3.6231;-0.382346;8.64;0.09
14.3761;2.9079;-0.397265;33.29;-0.07
25.9019;0.257509;-0.111716;39.85;-0.37
13.782;3.20407;-0.427589;41.44;0.16
4.75627;1.69014;-0.15395;27.28;-0.19
9.89555;4.40355;-0.479482;19.66;0.16
4.60215;1.61777;-0.144271;12.33;-0.3
12.855;3.6901;-0.469694;31.02;-0.11
19.9389;1.20401;-0.244105;11.78;0.45
23.9498;0.623446;-0.155443;19.53;-0.06
20.9589;1.1167;-0.224201;14.69;-0.25
22.6947;0.620941;-0.179649;41.65;-0.34
25.4514;0.295219;-0.114755;38.53;-0.19
3.00392;0.940652;-0.0699134;8.22;0.32
21.477;0.782511;-0.202085;29.42;-0.42
17.1146;2.05524;-0.331169;5.32;0.32
5.51321;2.0054;-0.191488;29.41;-0.15
6.3913;2.38632;-0.237789;23.27;-0.03
3.25846;1.05275;-0.0819466;13.08;-0.03
20.7942;1.20871;-0.232;19.85;0.15
19.3241;1.33972;-0.26083;15.32;0.47
16.6671;1.97546;-0.330151;32.1;-0.36
20.7345;1.0784;-0.224705;43.52;0.2
4.84178;1.63218;-0.147531;19.05;0.49
17.3935;2.00455;-0.322737;8.63;-0.19
22.3601;0.807292;-0.185667;38.69;0.02
20.2579;1.18738;-0.241995;38.97;-0.18
24.0263;0.471435;-0.141621;10.13;0.36
8.95307;3.9076;-0.413621;9.49;0
9.75532;3.88392;-0.435906;37.45;0.3
0;0;0;43.8;0.22
9.0643;3.92595;-0.424056;28.01;0.18
14.4883;2.97179;-0.416241;30.55;-0.11
15.7918;2.31843;-0.363458;15.16;-0.35
